ANNEE,PREMPRENOM,NOMBREPREMPRENOM,ORDRE
2010,MAËLYS,18,94
2010,MOHAMED,18,95
2010,TIAGO,18,96
2010,ADÈLE,17,97
2010,JULIEN,17,98
2010,MÉLINA,17,99
2010,MILA,17,100
2009,EMMA,72,1
2009,LOUIS,69,2
2009,LUCAS,67,3
2009,GABRIEL,66,4
2009,NATHAN,61,5
2009,ARTHUR,60,6
2009,JULES,60,7
2009,CAMILLE,58,8
2009,JADE,56,9
2009,CHLOÉ,53,10
2009,MANON,53,11
2009,RAPHAËL,53,12
2009,LOLA,51,13
2009,MAXIME,50,14
2009,HUGO,49,15
2009,LÉA,49,16
2009,ZOÉ,47,17
2009,ENZO,46,18
2009,MATHIS,46,19
2009,NOAH,45,20
2009,INÈS,44,21
2009,THOMAS,43,22
2009,SARAH,42,23
2009,TOM,42,24
2009,CLÉMENT,41,25
2009,YANIS,41,26
2009,LÉO,40,27
2009,PAUL,40,28
2009,LILOU,38,29
2009,MAËL,37,30
2009,ANTOINE,36,31
2009,JULIETTE,36,32
2009,THÉO,36,33
2009,ETHAN,35,34
2009,LOUISE,35,35
2009,MAXENCE,35,36
2009,NOA,34,37
2009,ADAM,33,38
2009,ANNA,33,39
2009,JEANNE,33,40
2009,ALEXANDRE,31,41
2009,TIMÉO,31,42
2009,CLARA,30,43
2009,NOÉ,30,44
2009,SACHA,30,45
2009,LINA,29,46
2009,LISA,29,47
2009,LOU,29,48
2009,ROMAIN,29,49
2009,ANAÏS,28,50
2009,AXEL,28,51
2009,LILY,28,52
2009,NOLAN,28,53
2009,ALEXIS,27,54
2009,EVA,27,55
2009,MARTIN,27,56
2009,ROMANE,27,57
2009,ALICE,26,58
2009,CHARLOTTE,26,59
2009,EVAN,26,60
2009,LUCIE,26,61
2009,MATHÉO,26,62
2009,SAMUEL,26,63
2009,MATHILDE,25,64
2009,VICTOR,25,65
2009,LÉNA,23,66
2009,LOUNA,23,67
2009,BAPTISTE,22,68
2009,GABIN,22,69
2009,JULIE,22,70
2009,PAULINE,22,71
2009,PIERRE,22,72
2009,CLÉMENCE,21,73
2009,EMILIE,21,74
2009,QUENTIN,21,75
2009,CÉLIA,20,76
2009,NINA,20,77
2009,RAYAN,20,78
2009,SIMON,20,79
2009,AGATHE,19,80
2009,ELSA,19,81
2009,LAURA,19,82
2009,VALENTIN,19,83
2009,GABRIELLE,18,84
2009,JUSTINE,18,85
2009,SASHA,18,86
2009,TITOUAN,18,87
2009,CORENTIN,17,88
2009,ILAN,17,89
2009,JULIA,17,90
2009,KYLIAN,17,91
2009,LÉONIE,17,92
2009,MARGOT,17,93
2009,MARIE,17,94
2009,MATHIAS,17,95
2009,OCÉANE,17,96
2009,AMBRE,16,97
2009,INAYA,16,98
2009,MAËLYS,16,99
2009,MARGAUX,16,100
2008,EMMA,91,1
2008,LOUIS,72,2
2008,RAPHAËL,69,3
2008,LUCAS,64,4
2008,ARTHUR,62,5
2008,NATHAN,62,6
2008,GABRIEL,61,7
2008,MATHIS,61,8
2008,ENZO,60,9
2008,MANON,58,10
2008,JADE,57,11
2008,TOM,55,12
2008,CAMILLE,54,13
2008,NOAH,54,14
2008,PAUL,54,15
2008,SARAH,54,16
2008,HUGO,53,17
2008,JULES,53,18
2008,THOMAS,53,19
2008,MAXIME,52,20
2008,CLÉMENT,47,21
2008,LÉA,47,22
2008,CHLOÉ,46,23
2008,LOLA,46,24
2008,ANTOINE,44,25
2008,MATHÉO,44,26
2008,CLARA,40,27
2008,JULIETTE,40,28
2008,LOUISE,40,29
2008,ANAÏS,39,30
2008,INÈS,39,31
2008,ZOÉ,39,32
2008,ETHAN,36,33
2008,LÉO,36,34
2008,VICTOR,33,35
2008,YANIS,33,36
2008,ESTEBAN,32,37
2008,JEANNE,32,38
2008,BAPTISTE,31,39
2008,LUCIE,31,40
2008,NOA,31,41
2008,AMBRE,30,42
2008,SACHA,30,43
2008,ADAM,29,44
2008,AXEL,28,45
2008,MARIE,28,46
2008,NINA,28,47
2008,QUENTIN,28,48
2008,ALICE,27,49
2008,EVAN,27,50
2008,LOUNA,27,51
2008,SAMUEL,27,52
2008,GABIN,26,53
2008,LUNA,26,54
2008,PIERRE,26,55
2008,SIMON,26,56
2008,ALEXANDRE,25,57
2008,CHARLOTTE,25,58
2008,EVA,25,59
2008,JULIE,25,60
2008,LISA,25,61
2008,MARTIN,25,62
2008,THÉO,25,63
2008,ALEXIS,24,64
2008,MAËL,24,65
2008,MATHILDE,24,66
2008,MAXENCE,24,67
2008,GASPARD,23,68
2008,PAULINE,23,69
2008,ADRIEN,22,70
2008,LINA,22,71
2008,MATHYS,22,72
2008,MATTÉO,22,73
2008,VALENTIN,22,74
2008,ROMANE,21,75
2008,MAËLLE,20,76
2008,MARGOT,20,77
2008,OCÉANE,20,78
2008,TITOUAN,20,79
2008,CLÉMENCE,19,80
2008,JULIEN,19,81
2008,ANNA,18,82
2008,LILOU,18,83
2008,MARGAUX,18,84
2008,RAYAN,18,85
2008,SARA,18,86
2008,BENJAMIN,17,87
2008,ELISE,17,88
2008,ELSA,17,89
2008,LILY,17,90
2008,LOU,17,91
2008,ROSE,17,92
2008,TIMÉO,17,93
2008,ELISA,16,94
2008,FAUSTINE,16,95
2008,LORENZO,16,96
2008,NOÉ,16,97
2008,PABLO,16,98
2008,ADÈLE,15,99
2008,ALIX,15,100
2007,EMMA,69,1
2007,ENZO,65,2
2007,LUCAS,63,3
2007,ARTHUR,62,4
2007,GABRIEL,61,5
2007,CLARA,59,6
2007,NATHAN,59,7
2007,RAPHAËL,58,8
2007,LÉA,56,9
2007,MAXIME,56,10
2007,TOM,56,11
2007,SARAH,55,12
2007,CLÉMENT,54,13
2007,MATHIS,52,14
2007,LOLA,50,15
2007,LOUIS,50,16
2007,JULES,49,17
2007,YANIS,49,18
2007,CAMILLE,48,19
2007,ZOÉ,43,20
2007,CHLOÉ,41,21
2007,PAUL,40,22
2007,ETHAN,39,23
2007,INÈS,39,24
2007,NOA,39,25
2007,THOMAS,39,26
2007,MANON,38,27
2007,CHARLOTTE,37,28
2007,LÉO,36,29
2007,MATHILDE,36,30
2007,ROMANE,36,31
2007,SAMUEL,36,32
2007,ADAM,35,33
2007,ANTOINE,35,34
2007,THÉO,35,35
2007,ANAÏS,34,36
2007,JADE,34,37
2007,JULIETTE,34,38
2007,EVAN,33,39
2007,MAXENCE,33,40
2007,JEANNE,32,41
2007,NOAH,32,42
2007,VALENTIN,31,43
2007,MATHÉO,30,44
2007,BAPTISTE,29,45
2007,EVA,29,46
2007,LOUISE,29,47
2007,LUCIE,28,48
2007,ALEXANDRE,26,49
2007,AXEL,26,50
2007,HUGO,26,51
2007,JULIE,26,52
2007,MAËL,26,53
2007,ALEXIS,25,54
2007,LISA,25,55
2007,MATTÉO,25,56
2007,ANNA,24,57
2007,CARLA,24,58
2007,LILOU,24,59
2007,LOU,24,60
2007,PAULINE,24,61
2007,RAYAN,24,62
2007,SACHA,24,63
2007,VICTOR,24,64
2007,LUNA,23,65
2007,MAËLLE,23,66
2007,MAËLYS,23,67
2007,ROMAIN,23,68
2007,SIMON,23,69
2007,ALICE,22,70
2007,CLÉMENCE,22,71
2007,PIERRE,22,72
2007,QUENTIN,22,73
2007,LAURA,21,74
2007,LINA,21,75
2007,BENJAMIN,20,76
2007,DYLAN,20,77
2007,ELISE,20,78
2007,GABIN,20,79
2007,GASPARD,20,80
2007,JULIA,20,81
2007,LOUNA,20,82
